id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,timestamp
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,22.19,13899565123,14,22173671148,3202298858,24.92,20.06,-2.7265413706450623,-10.94172,-1818172712.4241982,-11.56765,626849971.3083414,1000000000.0,1000000000.0,52.7,-58.74926,2021-05-10T00:13:57.214Z,0.148183,14569.50356,2017-11-29T00:00:00.000Z,,2024-12-20T14:37:59.427Z,2024-12-20 11:44:58.541015
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,5.25,13349350165,15,26776113108,1016950725,5.42,4.81,-0.16890342986282292,-3.11732,-519933985.56731796,-3.74882,2551519258.514936,5117834757.675439,,8.25,-36.58008,2024-06-15T00:36:51.509Z,0.519364,907.85434,2021-09-21T00:33:11.092Z,,2024-12-20T14:37:57.253Z,2024-12-20 11:44:58.541015
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,95168.0,12752760427,16,12752760427,991327908,101994.0,92185.0,-6826.380048810504,-6.69292,-957326509.1392422,-6.98264,133853.57004411,133853.57004411,133853.57004411,107645.0,-12.03034,2024-12-17T15:02:56.539Z,3139.17,2916.56865,2019-04-02T00:00:00.000Z,,2024-12-20T14:38:01.250Z,2024-12-20 11:44:58.541015
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,4.16,12157505781,17,41526357923,4530039181,4.55,3.5,-0.39655956234749645,-8.70738,-1209877102.3248196,-9.05096,2927660018.558888,10000000000.0,10000000000.0,4.91,-15.76918,2024-12-16T00:50:33.515Z,0.364846,1033.46204,2023-10-19T10:40:30.078Z,,2024-12-20T14:37:55.843Z,2024-12-20 11:44:58.541015
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,2.042e-05,12028979872,18,12034146351,2185762687,2.416e-05,1.868e-05,-3.748550977137e-06,-15.51286,-2319095882.8015957,-16.16311,589255483166806.8,589508569978233.5,,8.616e-05,-76.36668,2021-10-28T03:54:55.568Z,5.6366e-11,36124598.30195,2020-11-28T11:26:25.838Z,,2024-12-20T14:37:55.487Z,2024-12-20 11:44:58.541015
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.345721,10423346883,19,17251133156,1499745502,0.40241,0.31389,-0.05668961581257348,-14.08751,-1725092913.2968025,-14.20012,30211694792.20033,50001786911.16292,50001786911.16292,0.875563,-60.62561,2018-01-03T00:00:00.000Z,0.00047612,72307.18672,2015-03-05T00:00:00.000Z,,2024-12-20T14:37:55.979Z,2024-12-20 11:44:58.541015
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,6.7,10195846367,20,10195846367,1280439823,7.65,6.08,-0.9518867066763947,-12.44364,-1515137589.0781975,-12.93775,1522267060.0,1522267060.0,,54.98,-87.88067,2021-11-04T14:10:09.301Z,2.7,147.02237,2020-08-20T05:48:11.359Z,,2024-12-20T14:37:53.810Z,2024-12-20 11:44:58.541015
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.256688,9802231846,21,12813794966,2171374348,0.298583,0.235013,-0.04189494216907552,-14.03126,-1577085077.852642,-13.85922,38248746260.00033,50000000000.0,50000000000.0,0.569229,-55.18779,2021-09-15T10:40:28.318Z,0.00986111,2486.7681,2020-01-02T17:30:24.852Z,,2024-12-20T14:37:59.653Z,2024-12-20 11:44:58.541015
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3332.46,9256141055,22,9261339050,1929805524,3682.16,3107.52,-349.6980277190373,-9.49709,-986583628.7866573,-9.63204,2776802.602498888,2778361.978695038,,4799.89,-31.37671,2021-11-09T00:00:00.000Z,82.1,3911.82427,2018-12-15T00:00:00.000Z,,2024-12-20T14:38:03.649Z,2024-12-20 11:44:58.541015
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,26.57,8924865874,23,26726645578,538264699,26.93,22.88,0.188476,0.71447,210017106.0,2.40988,333928180.0,999990391.0,1000000000.0,29.03,-7.14532,2024-12-17T03:50:49.199Z,3.81,607.61702,2024-11-29T09:30:30.871Z,,2024-12-20T14:38:03.858Z,2024-12-20 11:44:58.541015
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.23,8540170134,24,9101580039,1527655,9.24,8.99,0.03441828,0.37411,37335413.0,0.43909,924467284.9,985239504.0,,9.79,-5.99103,2024-12-18T21:46:10.173Z,0.799859,1050.57104,2019-12-24T15:14:35.376Z,,2024-12-20T14:38:01.033Z,2024-12-20 11:44:58.541015
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,422.19,8352460302,25,8856731255,834865426,484.63,390.91,-62.44035738905194,-12.88418,-1291950793.534502,-13.39585,19804334.27165078,21000000.0,21000000.0,3785.82,-88.9454,2017-12-20T00:00:00.000Z,76.93,443.97669,2018-12-16T00:00:00.000Z,,2024-12-20T14:37:57.200Z,2024-12-20 11:44:58.541015
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,12.11,7268199797,26,12103921185,2145597552,15.19,11.24,-3.085669047644485,-20.31082,-1901608034.215948,-20.73771,600483073.71,1000000000.0,1000000000.0,44.92,-73.19836,2021-05-03T05:25:04.822Z,1.03,1068.61918,2020-09-17T01:20:38.214Z,,2024-12-20T14:37:59.900Z,2024-12-20 11:44:58.541015
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,94.37,7100745774,27,7918291510,2022295401,108.49,87.07,-14.116656456240776,-13.01226,-1091707155.6466331,-13.32577,75327189.48347135,84000000.0,84000000.0,410.26,-77.11935,2021-05-10T03:13:07.904Z,1.15,8070.84336,2015-01-14T00:00:00.000Z,,2024-12-20T14:38:01.163Z,2024-12-20 11:44:58.541015
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,1.602e-05,6740788497,28,6740788497,5910828853,1.951e-05,1.454e-05,-3.48313135073e-06,-17.85625,-1505659404.1483936,-18.25828,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-43.07277,2024-12-09T16:30:35.828Z,5.5142e-08,28835.39553,2023-04-18T02:14:41.591Z,,2024-12-20T14:38:03.042Z,2024-12-20 11:44:58.541015
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3513.46,6369140949,29,6369140949,115733291,3881.74,3278.74,-368.28392352928404,-9.48759,-626865333.5712814,-8.96033,1807687.954513035,1807687.954513035,,4311.81,-19.11396,2024-12-06T20:32:25.758Z,2231.18,56.31461,2024-01-08T03:35:28.624Z,,2024-12-20T14:37:58.877Z,2024-12-20 11:44:58.541015
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,4.98,6070546406,30,6111414255,2930248061,5.75,4.54,-0.7702404268444285,-13.38421,-965551652.1480455,-13.72283,1217906155.0,1226105286.0,,20.44,-75.7042,2022-01-16T22:09:45.873Z,0.526762,842.66505,2020-11-04T16:09:15.137Z,,2024-12-20T14:38:02.475Z,2024-12-20 11:44:58.541015
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999298,5937323476,31,5937323476,294372226,1.003,0.994326,0.00013507,0.01352,-54902565.835315704,-0.91623,5943636369.227338,5939279616.432338,,1.032,-3.35129,2023-12-20T15:38:34.596Z,0.929486,7.31673,2024-10-04T07:57:15.809Z,,2024-12-20T14:37:58.568Z,2024-12-20 11:44:58.541015
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/icon_colour.png?1696511504,4.24,5915499483,32,8450707511,565436323,4.62,3.55,-0.37378583911692154,-8.10743,-566946057.2906132,-8.74587,1400001000.0,2000000000.0,2000000000.0,4.89,-14.50938,2024-12-19T07:56:06.935Z,0.0142795,29178.31267,2020-06-25T04:17:05.895Z,,2024-12-20T14:37:56.808Z,2024-12-20 11:44:58.541015
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,10.56,5870776854,33,11953572602,1453279453,12.62,9.97,-2.0565961900649263,-16.30023,-1186098419.101081,-16.8077,555870763.6514767,1131816401.198522,,19.92,-47.09955,2023-01-26T14:25:17.390Z,3.08,242.16493,2022-12-29T21:35:14.796Z,,2024-12-20T14:38:04.096Z,2024-12-20 11:44:58.541015
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,1.0,5148260295,34,5150099908,96856763,1.007,0.994532,0.00413931,0.41561,-62500549.824183464,-1.19945,5146748849.947614,5148587923.459671,,1.057,-5.387,2024-10-29T05:40:51.197Z,0.948265,5.49415,2024-10-03T13:19:28.826Z,,2024-12-20T14:37:57.835Z,2024-12-20 11:44:58.541015
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,9.81,4678984414,35,5166548748,438899525,11.11,8.88,-1.3065370036584607,-11.75578,-656835664.0590315,-12.30993,477433187.1404251,527183169.829158,,700.65,-98.6111,2021-05-10T16:05:53.653Z,2.87,239.65867,2023-09-22T00:29:57.369Z,,2024-12-20T14:38:00.234Z,2024-12-20 11:44:58.541015
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,299.0,4481189979,36,4774508476,1679421325,342.25,272.76,-43.245951228406966,-12.6358,-677639760.4989014,-13.13553,15017051.500953054,16000000.0,16000000.0,661.69,-55.15033,2021-05-18T21:19:59.514Z,26.02,1040.39175,2020-11-05T09:20:11.928Z,,2024-12-20T14:38:03.395Z,2024-12-20 11:44:58.541015
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.156678,4244738433,37,4689139892,77463023,0.179098,0.142037,-0.02241959005084082,-12.51809,-614557080.0842915,-12.64704,27156825326.64329,30000000000.0,,0.965407,-83.90682,2021-11-24T15:53:54.855Z,0.0121196,1181.92967,2019-02-08T00:00:00.000Z,,2024-12-20T14:37:56.771Z,2024-12-20 11:44:58.541015
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,1.18,3980310060,38,7352531349,357335480,1.24,1.003,-0.06058358538114206,-4.8748,-214937860.73610783,-5.12336,3366841707.83684,6219316794.99,6219316794.99,1.54,-25.2836,2024-04-08T09:45:25.482Z,0.307978,273.2971,2023-10-18T02:50:46.942Z,,2024-12-20T14:38:01.243Z,2024-12-20 11:44:58.541015
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,25.73,3852389911,39,5410586152,759067450,29.55,23.63,-3.821798613826715,-12.93247,-576328314.6230693,-13.01343,150020447.2410176,210700000.0,210700000.0,167.09,-84.69318,2021-05-06T18:34:22.133Z,0.615038,4058.35286,2016-07-25T00:00:00.000Z,"{'times': 56.178154148244175, 'currency': 'usd', 'percentage': 5617.8154148244175}",2024-12-20T14:38:03.392Z,2024-12-20 11:44:58.541015
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.457707,3839836185,40,4716263744,467842942,0.52011,0.4148,-0.06240243308977766,-11.99794,-528762625.6112766,-12.10371,8402246212.883514,10320025978.25929,,1.29,-64.62521,2024-03-13T18:55:06.692Z,0.286453,59.00404,2024-11-04T21:55:33.611Z,,2024-12-20T14:37:53.208Z,2024-12-20 11:44:58.541015
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,3.73,3541473878,42,6709658540,275327564,4.17,3.42,-0.33486272697769515,-8.22931,-335631324.8235402,-8.65675,948670570.7999997,1797346477.07,,4.55,-17.32723,2024-12-11T17:15:48.902Z,0.01726188,21671.68424,2023-10-12T17:25:09.068Z,,2024-12-20T14:38:01.992Z,2024-12-20 11:44:58.541015
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,24.56,3539022434,41,8272348352,67338892,25.23,24.29,-0.5922820454854012,-2.35432,-101043180.85610867,-2.77586,144118517.10815412,336872286.0,400000000.0,25.52,-3.97887,2024-12-17T17:32:27.537Z,3.06,700.28561,2023-02-13T19:01:21.899Z,,2024-12-20T14:37:58.384Z,2024-12-20 11:44:58.541015
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,6.81,3520903061,43,3621288399,534352224,7.89,6.12,-1.0815838338264392,-13.7031,-594019802.6454053,-14.43575,517696508.8754916,532456682.1554916,,13.53,-50.10128,2024-03-17T16:30:24.636Z,0.03665669,18324.02562,2020-06-16T13:22:25.900Z,,2024-12-20T14:37:54.518Z,2024-12-20 11:44:58.541015
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.04283746,3467753549,44,3681851949,358383962,0.051078,0.03837758,-0.008240105681725528,-16.13254,-680801533.7634325,-16.41057,80985041177.0,85985041177.0,86712634466.0,0.280991,-84.89,2021-04-19T01:08:21.675Z,0.00191713,2114.64809,2020-03-13T02:29:59.652Z,"{'times': 3.4953132714815327, 'currency': 'eth', 'percentage': 349.53132714815325}",2024-12-20T14:37:58.697Z,2024-12-20 11:44:58.541015
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.004,3404512271,45,3404051164,263345833,1.006,0.992571,0.0051993,0.52076,-26924678.4637022,-0.78465,3393892269.707929,3393432601.171889,,1.22,-17.96531,2020-03-13T03:02:50.373Z,0.88196,13.37771,2023-03-11T07:50:50.514Z,,2024-12-20T14:37:58.962Z,2024-12-20 11:44:58.541015
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,451.66,3331357009,46,9478157322,529514403,488.44,401.77,-36.78272070095261,-7.53067,-300684666.1996045,-8.27867,7381023.0,21000000.0,21000000.0,757.6,-41.15509,2024-03-07T18:45:36.466Z,30.83,1346.03446,2023-05-14T08:57:53.732Z,,2024-12-20T14:38:04.522Z,2024-12-20 11:44:58.541015
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,1.26,3284461258,47,3422303535,947740572,1.42,1.13,-0.158240669429784,-11.14065,-417885436.830482,-11.28704,2609959126.672,2719493896.672,2719493896.672,3.45,-63.80351,2024-03-28T17:21:18.050Z,0.00816959,15204.07387,2020-03-13T02:24:18.347Z,"{'times': 13.557665223759942, 'currency': 'usd', 'percentage': 1355.7665223759943}",2024-12-20T14:37:59.241Z,2024-12-20 11:44:58.541015
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,174.35,3214031827,48,3214031827,171285728,211.99,168.35,-37.227952740397626,-17.59545,-722322713.906014,-18.35004,18446744.07370955,18446744.07370955,,542.33,-67.94355,2018-01-09T00:00:00.000Z,0.216177,80320.4868,2015-01-14T00:00:00.000Z,,2024-12-20T14:38:01.501Z,2024-12-20 11:44:58.541015
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.739841,3110070730,49,7387144935,1273153094,0.857565,0.674225,-0.117724436258972,-13.72776,-505053727.68188906,-13.97058,4210111968.0,10000000000.0,10000000000.0,2.39,-69.27335,2024-01-12T12:29:59.231Z,0.431578,70.17892,2024-08-05T11:35:54.024Z,,2024-12-20T14:38:03.698Z,2024-12-20 11:44:58.541015
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.122241,3102707331,50,3102707914,358957701,0.128994,0.110396,-0.006753085642507442,-5.2352,-196799627.88285303,-5.96452,25391209942.96462,25391214715.21728,28704026601.0,0.207411,-40.98438,2024-08-01T00:40:47.164Z,0.00017105,71461.05891,2022-05-26T14:42:59.316Z,,2024-12-20T14:38:00.778Z,2024-12-20 11:44:58.541015
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.99672,2935711822,51,14990868879,1447936844,1.11,0.853891,-0.11725760564183196,-10.52603,-344850491.74881744,-10.51193,2937500000.0,15000000000.0,,1.52,-33.81533,2024-04-11T13:15:15.057Z,0.195078,414.9151,2024-09-06T21:04:48.253Z,,2024-12-20T14:38:00.739Z,2024-12-20 11:44:58.541015
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,4.74,2905431274,52,9284224364,1331556824,5.64,4.42,-0.8979558645412737,-15.92421,-567287639.6649327,-16.33555,613283071.0,1959728898.0,1959729012.0,236.84,-98.01168,2021-04-01T13:29:41.564Z,2.64,78.31129,2022-12-16T22:45:28.552Z,,2024-12-20T14:37:59.738Z,2024-12-20 11:44:58.541015
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,44.51,2669045012,53,10496361384,26039188,48.29,41.96,-3.302175068474128,-6.90701,-202897851.52545404,-7.06483,60000000.0,235957685.3,300000000.0,73.8,-40.14815,2024-03-14T00:30:12.502Z,0.580608,7508.0017,2019-01-14T00:00:00.000Z,,2024-12-20T14:38:04.336Z,2024-12-20 11:44:58.541015
fantom,ftm,Fantom,https://coin-images.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.9507,2655577863,54,3007331628,1157052206,1.15,0.859504,-0.1948849731149418,-17.01183,-562023305.1651855,-17.46715,2803634835.526592,3175000000.0,3175000000.0,3.46,-72.85329,2021-10-28T05:19:39.845Z,0.00190227,49256.24834,2020-03-13T02:25:38.280Z,"{'times': 30.69000719390341, 'currency': 'usd', 'percentage': 3069.000719390341}",2024-12-20T14:37:59.347Z,2024-12-20 11:44:58.541015
algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.314831,2617962270,55,2617962240,732566178,0.372578,0.28474,-0.05774713627412631,-15.49933,-493647024.64150524,-15.86469,8334783380.720299,8334783285.047259,10000000000.0,3.56,-91.20023,2019-06-20T14:51:19.480Z,0.087513,258.08575,2023-09-11T19:42:08.247Z,"{'times': -0.8688203407702415, 'currency': 'usd', 'percentage': -86.88203407702414}",2024-12-20T14:38:03.278Z,2024-12-20 11:44:58.541015
blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,1.68,2530992671,56,2531014525,442125747,1.99,1.56,-0.30494616341050507,-15.35175,-480820305.8746362,-15.96448,1505558287.75501,1505571287.75501,1818000000.0,3.86,-56.75346,2024-04-01T12:34:58.342Z,0.04559639,3565.17092,2020-03-13T02:29:26.415Z,"{'times': 13.012060973574583, 'currency': 'usd', 'percentage': 1301.2060973574582}",2024-12-20T14:37:59.121Z,2024-12-20 11:44:58.541015
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,6.42,2507266261,57,2508817163,557385116,7.48,5.86,-1.0595963762904503,-14.17034,-432102082.31049347,-14.70051,390688369.813272,390930035.085365,,44.45,-85.68676,2022-01-17T00:34:41.497Z,1.16,448.41644,2020-03-13T02:27:44.591Z,"{'times': 63.17966776082848, 'currency': 'usd', 'percentage': 6317.966776082848}",2024-12-20T14:37:58.488Z,2024-12-20 11:44:58.541015
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,1.7,2445346514,58,17013239604,636359481,1.9,1.48,-0.201181525502512,-10.56778,-307638192.3248949,-11.17471,1437319741.0074873,10000000000.0,10000000000.0,2.14,-20.73275,2024-12-16T00:36:00.777Z,0.082171,1964.5279,2024-01-18T12:14:30.524Z,,2024-12-20T14:38:02.273Z,2024-12-20 11:44:58.541015
