id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,data_fetched_at
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,3974.8,1911031717,77,1911031717,3290457,4139.89,3924.54,-153.754694062799,-3.72417,-63523497.00720501,-3.2171,480619.7055745648,480619.7055745648,,4216.2,-5.19722,2024-12-06 20:31:16.142000+00:00,2069.62,93.13059,2024-01-23 14:25:53.609000+00:00,2024-12-18 12:57:32.528000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
kucoin-shares,kcs,KuCoin,11.88,1428212547,99,1695499719,1476849,12.47,11.92,-0.4515398147235423,-3.66177,-53637095.818813086,-3.6196,120225681.1460797,142725681.1460797,,28.83,-58.55906,2021-12-01 15:09:35.541000+00:00,0.342863,3384.5917,2019-02-07 00:00:00+00:00,2024-12-18 12:57:32.712000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
leo-token,leo,LEO Token,9.61,8896966395,27,9481572592,1127660,9.67,9.49,-0.0208466745098316,-0.21637,-24992733.149793625,-0.28013,924492500.9,985239504.0,,9.73,-1.85643,2024-12-12 11:20:41.110000+00:00,0.799859,1093.31381,2019-12-24 15:14:35.376000+00:00,2024-12-18 12:57:32.846000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
lido-dao,ldo,Lido DAO,2.0,1798107602,79,2006486755,266839109,2.23,2.0,-0.2184745448307461,-9.84799,-195561249.2375164,-9.80911,896147256.7293415,1000000000.0,1000000000.0,7.3,-72.53806,2021-08-20 08:35:20.158000+00:00,0.40615,393.78593,2022-06-18 20:55:12.035000+00:00,2024-12-18 12:57:33.085000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
litecoin,ltc,Litecoin,117.24,8832919623,28,9850904045,2302759670,129.46,114.86,-2.2354563091907664,-1.87107,-170036014.21051216,-1.88867,75319508.23347135,84000000.0,84000000.0,410.26,-71.3045,2021-05-10 03:13:07.904000+00:00,1.15,10147.36772,2015-01-14 00:00:00+00:00,2024-12-18 12:57:33.535000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
lombard-staked-btc,lbtc,Lombard Staked BTC,104739.0,1599250726,88,1599250726,2874108,108059.0,103336.0,-2225.137485444953,-2.08026,-37268418.95046091,-2.2773,15268.86418549,15268.86418549,,108188.0,-3.11225,2024-12-16 18:42:29.564000+00:00,52119.0,101.11651,2024-09-06 21:01:52.094000+00:00,2024-12-18 12:57:33.077000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
maker,mkr,Maker,1741.46,1551848989,89,1601966242,169419736,1882.05,1725.34,-140.58470580702942,-7.46978,-126323166.95399094,-7.52743,890964.7998767248,919738.674354268,1005577.0,6292.31,-72.29601,2021-05-03 21:54:29.333000+00:00,168.36,935.42829,2020-03-16 20:52:36.527000+00:00,2024-12-18 12:57:33.612000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
mantle,mnt,Mantle,1.18,3964546643,44,7323412760,176221322,1.24,1.15,-0.0595758359564786,-4.82124,-200823372.50425005,-4.82126,3366841707.83684,6219316794.99,6219316794.99,1.54,-23.17192,2024-04-08 09:45:25.482000+00:00,0.307978,283.84745,2023-10-18 02:50:46.942000+00:00,2024-12-18 12:57:33.326000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
mantle-staked-ether,meth,Mantle Staked Ether,4046.71,1785711207,80,1785711207,16001151,4226.05,4004.74,-158.55909178606953,-3.77048,-72461037.6390121,-3.89959,440883.7145478424,440883.7145478424,,4729.53,-14.09472,2024-03-27 05:26:27.333000+00:00,2142.02,89.67706,2023-12-18 10:41:32.686000+00:00,2024-12-18 12:57:33.279000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
mantra-dao,om,MANTRA,4.03,3817846279,47,7247388688,100740773,4.12,3.8,0.094774,2.40718,95135018.0,2.55553,946411144.76,1796565111.4,,4.55,-10.63298,2024-12-11 17:15:48.902000+00:00,0.01726188,23434.60035,2023-10-12 17:25:09.068000+00:00,2024-12-18 12:57:33.325000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
monero,xmr,Monero,217.05,4005349018,43,4005349018,139031945,222.51,209.87,-3.300735594260658,-1.49794,-53521499.62138128,-1.31863,18446744.07370955,18446744.07370955,,542.33,-60.09297,2018-01-09 00:00:00+00:00,0.216177,100015.35195,2015-01-14 00:00:00+00:00,2024-12-18 12:57:33.725000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
movement,move,Movement,0.654796,1474030949,94,6551248663,487205367,0.694322,0.614243,0.02466034,3.9135,54015135.0,3.80384,2250000000.0,10000000000.0,10000000000.0,1.45,-54.78711,2024-12-10 04:05:51.093000+00:00,0.597911,9.63562,2024-12-16 13:05:52.930000+00:00,2024-12-18 12:57:33.689000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
near,near,NEAR Protocol,6.18,7528245784,29,7576600737,835381473,6.99,6.16,-0.7336906676237769,-10.60994,-892835788.1313858,-10.60239,1217906155.0,1225728933.0,,20.44,-69.74476,2022-01-16 22:09:45.873000+00:00,0.526762,1073.8884,2020-11-04 16:09:15.137000+00:00,2024-12-18 12:57:34.124000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
nexo,nexo,NEXO,1.45,1451251189,95,1451251189,9293967,1.51,1.43,-0.0497444371956203,-3.31581,-48820952.72647381,-3.25457,1000000000.0,1000000000.0,1000000000.0,4.07,-64.27312,2021-05-12 14:37:47.535000+00:00,0.04515276,3118.75935,2018-09-13 00:00:00+00:00,2024-12-18 12:57:34.420000+00:00,13.50477287596897,usd,2024-12-18 10:02:19.516525
okb,okb,OKB,51.58,3094603826,58,12169925929,11328706,53.61,51.29,-1.9757185711466505,-3.68908,-122196130.40461302,-3.79869,60000000.0,235957685.3,300000000.0,73.8,-30.16872,2024-03-14 00:30:12.502000+00:00,0.580608,8776.526,2019-01-14 00:00:00+00:00,2024-12-18 12:57:33.889000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
ondo-finance,ondo,Ondo,1.95,2806367547,61,19525005233,374113209,2.02,1.88,-0.0386317949717249,-1.93912,-49779360.35683489,-1.74289,1437319741.0074873,10000000000.0,10000000000.0,2.14,-7.78488,2024-12-16 00:36:00.777000+00:00,0.082171,2301.7573,2024-01-18 12:14:30.524000+00:00,2024-12-18 12:57:34.216000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
optimism,op,Optimism,2.32,3145171891,57,9993504614,450856073,2.46,2.3,-0.1335879429374817,-5.4387,-186428578.22019005,-5.59577,1351719035.0,4294967296.0,4294967296.0,4.84,-51.97204,2024-03-06 08:35:50.817000+00:00,0.402159,478.53303,2022-06-18 20:54:52.178000+00:00,2024-12-18 12:57:22.285000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
pepe,pepe,Pepe,2.124e-05,8960264489,26,8960264489,2370251574,2.354e-05,2.125e-05,-2.302907366268e-06,-9.78237,-943978356.9791794,-9.53105,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-23.68434,2024-12-09 16:30:35.828000+00:00,5.5142e-08,38690.29442,2023-04-18 02:14:41.591000+00:00,2024-12-18 12:57:35.244000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
polkadot,dot,Polkadot,8.17,12430577558,20,12430577558,611968872,8.9,8.17,-0.7276952082372077,-8.18142,-1108927732.2003632,-8.19031,1522267060.0,1522267060.0,,54.98,-85.1001,2021-11-04 14:10:09.301000+00:00,2.7,203.69723,2020-08-20 05:48:11.359000+00:00,2024-12-18 12:57:24.394000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
polygon-ecosystem-token,pol,POL (ex-MATIC),0.551699,4653462119,39,5711524825,247879032,0.598327,0.548346,-0.0466284656194987,-7.79314,-366351375.34787273,-7.29811,8408236229.344528,10320025978.25929,,1.29,-56.88022,2024-03-13 18:55:06.692000+00:00,0.286453,93.81654,2024-11-04 21:55:33.611000+00:00,2024-12-18 12:57:24.872000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
pudgy-penguins,pengu,Pudgy Penguins,0.03382081,2138663154,72,3024215616,2905652386,0.068447,0.01141,0.02241081,196.41375,-694048269.588711,-24.5012,62860396090.0,88888888888.0,88888888888.0,0.068447,-49.94946,2024-12-17 13:05:22.873000+00:00,0.01141,200.24487,2024-12-17 13:00:22.873000+00:00,2024-12-18 12:57:35.343000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
pyth-network,pyth,Pyth Network,0.421391,1529085270,91,4218179310,119590109,0.47429,0.421232,-0.0528992238017935,-11.15335,-198328989.33560848,-11.48126,3624988786.43857,10000000000.0,10000000000.0,1.2,-64.62223,2024-03-16 07:01:15.357000+00:00,0.22352,89.35581,2024-08-05 11:30:50.894000+00:00,2024-12-18 12:57:35.274000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
quant-network,qnt,Quant,122.25,1777883554,81,1786234620,63470170,134.99,121.68,-12.459238775000829,-9.24908,-181689390.08868933,-9.27189,14544176.164091088,14612493.0,14612493.0,427.42,-71.39353,2021-09-11 09:15:00.668000+00:00,0.215773,56566.1668,2018-08-23 00:00:00+00:00,2024-12-18 12:57:34.707000+00:00,12.63051128739455,eth,2024-12-18 10:02:19.516525
render-token,render,Render,8.31,4304104791,41,4426821551,223479627,9.04,8.29,-0.7319279536164149,-8.09775,-377596206.6856928,-8.06536,517690758.8754916,532450932.1554916,,13.53,-38.66584,2024-03-17 16:30:24.636000+00:00,0.03665669,22546.31731,2020-06-16 13:22:25.900000+00:00,2024-12-18 12:57:35.368000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
renzo-restaked-eth,ezeth,Renzo Restaked ETH,3969.18,1438495605,97,1438495605,7712089,4134.22,3917.41,-147.5207250077956,-3.58347,-66561765.2780633,-4.42254,362246.1649122664,362246.1649122664,,4207.05,-5.47112,2024-12-06 20:30:39.115000+00:00,2198.04,80.92824,2024-01-26 08:09:59.848000+00:00,2024-12-18 12:57:34.980000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
